"cars_test.id","cars_test.predict"
1.35187831644984e+37,125856.05628477
2.99896161723793e+38,135579.123483921
3.16180649972302e+38,187196.466844045
2.22527157104148e+38,123120.49369376
1.60460343059851e+38,131900.203961569
2.62727202368986e+38,127902.661957782
2.540937642058e+38,142386.312084866
2.61181846130361e+37,161171.423802627
2.16524630140336e+35,124853.810351894
1.85631381169816e+38,132187.337740759
1.93325654448133e+38,139780.618887732
2.38917637717691e+38,117496.426897426
5.54308296792569e+37,131185.382494637
2.15317645068876e+38,136891.970652288
8.1597227204972e+37,114101.586551813
1.44896666825909e+38,115558.238053719
1.84599608599424e+38,162748.251899751
3.32523842755767e+38,137216.971672808
1.15343777354603e+38,170415.786337918
2.07571702172355e+37,132534.695807668
1.85526399598538e+38,135305.087661978
6.06580428134898e+37,127210.097983706
2.5246965613647e+38,158249.441916
1.44289133420258e+38,101029.308699648
2.86704706212187e+38,124232.80191741
1.04788498292329e+38,115803.561186027
8.30915515170481e+37,154925.213201624
2.5381924059925e+38,120648.76082174
4.75521002677692e+37,130306.999067874
1.4393254086709e+38,150441.650399832
1.96345985565471e+38,147023.766699147
2.44792708737469e+38,108932.877242839
8.45899404146645e+37,118997.677864416
2.72199586960888e+38,148394.196966596
4.99594395070267e+37,118298.372127736
2.81026519311658e+38,122434.762819638
9.30745641500148e+37,158459.363248038
2.67284013907929e+37,140836.406052468
1.88211565885838e+38,81780.0351644375
7.24879461819488e+37,146234.682756499
2.28864048115976e+38,109802.334398307
1.12454259487643e+38,135208.040782825
2.22663295482952e+38,121506.903576486
1.74300102534869e+38,162793.694890001
6.56160681494779e+37,137670.822377644
1.25124292682606e+37,136312.141404388
3.36344009530167e+38,115096.522248297
7.95222865187926e+37,129591.402793658
8.26898022937759e+37,130968.106705912
1.45087209205382e+38,132101.690043157
1.48379644220249e+38,128805.097920872
8.17834159140686e+37,154147.429512892
1.73920051297479e+37,154324.197313513
2.21003909581331e+38,150196.482347266
3.22709941338706e+37,138657.125788113
4.47434231624749e+37,150174.040186138
2.56739781367017e+38,207933.958635187
1.0206982131329e+38,143401.627494018
2.95239204594156e+38,126227.434735293
2.17043924033496e+38,95740.3958851758
2.30630223901851e+38,153610.893304559
2.2879458332519e+38,111420.928892888
2.2688321175192e+38,129313.339310456
1.78727794896076e+38,139105.954086935
2.33324434070255e+38,121890.029962648
1.20196782885257e+38,129247.783559792
3.07587965035124e+38,125842.820586046
1.47918433942232e+38,131454.729868718
3.22862357217576e+38,182642.805886583
2.39523402888574e+38,165634.061310472
1.1350998321454e+38,133452.094703554
1.09891169875097e+38,134192.276565545
1.40472847652597e+37,160335.853731379
1.85048785858082e+38,152908.886596142
2.33408161489868e+38,80118.4360354263
2.71868823659696e+38,152739.166875457
2.34266752075173e+38,144198.287460961
1.35193714861902e+38,127189.870248644
6.53835142392486e+37,133883.264767791
7.63500554236947e+35,116839.413705369
2.63071556455718e+38,143772.073719145
2.51187863725991e+38,100326.696366848
2.54288424794028e+38,163833.104928837
2.86319605986498e+38,117040.915173251
1.81564447621462e+37,132488.626921345
1.32399590521101e+38,134315.447968127
1.03484450878269e+38,112332.430922581
3.91227024165152e+36,142147.714291621
2.89442719100949e+38,105977.816705372
7.810756909968e+37,113044.410932123
1.80495442974534e+38,132384.813523778
3.10808003231124e+38,124136.265352835
2.81412885789869e+38,118192.796860738
1.15834922999694e+38,124890.705923581
5.73180198211347e+36,146453.387594509
2.56716164818036e+38,153774.549648463
2.87091925155434e+38,128392.764776113
3.42602188964016e+37,129956.207129151
1.29711525134943e+38,135919.030353481
6.3813447393601e+37,115937.397747635
2.33957718806307e+38,130821.600727006
1.38508589382193e+38,141895.178229129
1.71762617476836e+38,129767.751392254
7.12273634442511e+36,116683.165414478
3.29318790473356e+37,121982.059121986
2.30483121396275e+38,141905.633678586
3.15766672381284e+38,132332.537960004
3.01104161774369e+38,120395.921734969
2.27510606246396e+38,147337.42826021
2.28659121972304e+38,148847.808068694
6.80868090591737e+37,166529.346396182
1.6904139238961e+38,90517.7294253747
1.49581053128778e+38,148638.633513755
6.62524202289897e+37,152360.761036585
2.6285996735148e+38,127904.818150212
3.17829998963593e+38,130559.818584772
2.48878417041254e+37,126938.158029368
2.30199425899098e+38,129685.778782066
7.40119576477593e+37,134158.157458092
1.44733803448319e+38,129113.025519464
1.42405383752199e+38,119804.158269872
1.73324636074769e+38,143692.02071603
1.55561347177954e+38,146208.063931988
8.60264350634131e+37,130384.22706091
2.29257356284379e+38,97530.8318332147
2.49214025842221e+38,145830.042715856
8.34732088853907e+37,152439.453380707
1.80580369832354e+38,112219.190787312
2.59490022068442e+38,118623.150259047
1.20796267956233e+38,164740.131345244
2.41430542672617e+38,143039.585825161
5.30918477806405e+37,140482.431893626
1.7197706656763e+38,120440.624894433
2.01914625874464e+38,142949.350521793
8.40593840634494e+37,136953.81085543
3.28387208591073e+38,149351.141090187
1.71544264940223e+37,148694.13947686
1.92000139416378e+38,111443.413350556
1.80081646479211e+38,141602.78068316
2.53986101323167e+38,90991.4955790375
8.20362693116881e+37,127692.080600613
3.33919908274208e+38,146331.834121215
3.13704772228415e+38,128187.985604503
2.15781134391041e+38,144048.189384513
3.23576127340261e+38,150444.256413172
2.12667363162994e+37,150151.519527136
1.86277892327196e+38,172217.391197876
1.18653739393883e+38,127076.453887374
1.78402222675267e+38,130258.401940929
1.4111625130404e+37,142951.675668096
3.25687469192316e+38,133590.285055967
3.38873463459304e+38,116127.054616161
2.45440709240118e+38,132368.186317921
3.99228477836281e+36,111385.926695623
1.77917688273646e+38,163021.645700741
3.07183333739201e+38,105604.879646975
3.35470794133402e+38,126097.19001179
2.03204241445016e+38,128966.660343048
1.3438525764741e+38,129133.452296186
6.54068725792148e+36,138079.340879942
2.0323980783103e+38,152657.106930762
3.9376528018535e+37,133413.580868574
3.33342898325227e+38,138120.567772538
2.16088076765438e+38,108777.641629744
2.9425616841336e+38,131939.577061712
2.49324748703273e+38,147217.840615592
2.27934818343216e+38,91416.2902574402
1.57501721120159e+38,111853.049619041
2.97125857657344e+38,122351.684754854
8.71360290636341e+37,85164.9126400229
1.99891203388386e+38,88809.91330309
1.02123055616796e+38,137026.404404972
2.37512146312821e+38,137945.04708302
3.09842804508855e+37,147123.671690026
1.26374200467605e+38,119898.792711133
3.17466905352534e+38,147199.111792343
5.28652296024721e+37,156137.049468655
8.69842245020022e+37,118742.451344187
1.14416682475134e+38,115987.776257273
4.95002888962384e+37,127986.473986513
1.54651728496408e+37,121853.495466674
3.07334256328869e+38,103096.936341198
2.28144239113577e+38,149496.767715404
2.87139027642678e+38,163122.979209115
